actividad,num_resenas,valoracion,categoria,ubicacion
Bodega CM de Matarromera,14,5.0,Wineries & Vineyards,Logrono
Castillo de Clavijo,27,4.0,Castles,Ribabellosa
Sala Amos Salvador,6,4.5,Art Museums,El Villar
Finca Ribavellosa,9,5.0,Hiking Trails,Ezcaray
Centro de la Cultura del Rioja,52,3.5,Art Museums,Clavijo
Chorrones de Pena Puerta,6,4.5,Waterfalls,Viguera
Monumento al Sagrado Corazón de Jesús,11,4.5,Monuments & Statues,Alfaro
Ermita de Santa Barbara,5,4.0,Churches & Cathedrals,Arnedillo
Ruta de Las Neveras,3,4.5,Hiking Trails,Enciso
Santuario de Santa Maria de la Estrella,10,4.0,Religious Sites,Murillo del Rio Leza
Piscinas Municipales,4,4.0,Sports Complexes,Mansilla de la Sierra
Cines 7 Infantes,15,3.5,Theaters,Torrecilla en Cameros
Bodegas Tobia,10,4.5,Wineries & Vineyards,Aldeanueva de Ebro
Escape Room Logrono,328,5.0,Escape Games,San Asensio
Monumento a la Valvanerada,4,5.0,Monuments & Statues,Cenicero
Chimenea de La Antigua Tabacalera,20,3.5,Points of Interest & Landmarks,Briones
Bodegas Mazuela,8,5.0,Wineries & Vineyards,Haro
Bodegas Paco Garcia,9,5.0,Wineries & Vineyards,Cuzcurrita de Rio Tiron
Alfareria Naharro,2,4.5,Factory Outlets,Navarrete
Bodegas Berceo,6,4.5,Wineries & Vineyards,Sojuela
Senda De Los Dinosaurios,6,4.0,Points of Interest & Landmarks,San Vicente de la Sonsierra
Uvas y Vino,10,5.0,Wineries & Vineyards,
Bodegas Vina Laguardia S L,14,4.5,Wineries & Vineyards,
Museo del Torreón,18,4.0,Art Museums,
Embalse de Mansilla,4,4.5,Bodies of Water,
Ermita de San Juan Santo Cristo de Los Remedios,26,4.0,Churches & Cathedrals,
Bodegas Betolaza,4,5.0,Wineries & Vineyards,
Bodegas Perica,7,4.5,Wineries & Vineyards,
Iglesia de San Servando y San German,6,4.5,Religious Sites,
Ilurce Bodegas y Vinedos,5,5.0,Wineries & Vineyards,
Ilurce Bodegas y Vinedos,5,5.0,Wineries & Vineyards,Logrono
Junguitu ¿Hablamos de Vino?,8,4.5,Wineries & Vineyards,Sajazarra
Puente de Hierro,11,4.0,Bridges,Alfaro
