fecha;gopph_TOTAL;gopph_Logroño y Alrededores ;gopph_plaza_Resto municipios;gopph_finde_TOTAL;gopph_Logroño y Alrededores _finde ;gopph_Resto municipios_finde;goppa_TOTAL;goppa_Logroño y Alrededores ;goppa_Resto municipios;goppa_finde_TOTAL;goppa_Logroño y Alrededores _finde ;goppa_Resto municipios_finde;gopptr_TOTAL;gopptr_Logroño y Alrededores ;gopptr_Resto municipios;gopptr_finde_TOTAL;gopptr_Logroño y Alrededores _finde ;gopptr_Resto municipios_finde;goppc_TOTAL;goppc_Logroño y Alrededores ;goppc_plaza_Resto municipios;goppc_finde_TOTAL;goppc_Logroño y Alrededores _finde ;goppc_Resto municipios_finde; pernoc_Hoteles_total ; pernoc_Campings_total ; perc_Apartamentos_turisticos_total ; pernoc_Alojamientos_de_turismo_rura_total ; pernoc_Albergues_total ; pernoc_Hoteles_residentes ; pernoc_Campings_residentes ; pernoc_Apartamentos turisticos_residentes ; pernoc_Alojamientos_de_turismo_rural_residentes ; pernoc_Albergues_residentes ; pernoc_Hoteles_extranjeros ; pernoc_Campings_extranjeros ; pernoc_Apartamentos_turisticos_extranjeros ; pernoc_Alojamientos_de_turismo_rural_extranjeros ; pernoc_Albergues_extranjeros 
1/9/17;58,07;71,34;48,98;68;77,7;61,4;32,1;40,96;30,09;50,44;64,95;47,11;21,83;15,77;22,67;45,49;37,79;46,56;58,38;75,64;54,14;60,47;18,93;45,33; 114.190,00 ; 26.985,00 ; 11.096,00 ; 8.021,00 ; 810,00 ; 83.380,00 ; 23.956,00 ; 9.857,00 ; 7.376,00 ; 700,00 ; 30.810,00 ; 3.029,00 ; 1.239,00 ; 644,00 ; 110,00 
1/8/17;62,91;75,59;54,29;72,06;87,91;61,31;20,8;36,67;17,11;32,43;53,33;27,58;37,64;21,06;40,27;52,48;37,15;54,9;59,3;75,47;55,32;58,62;18,55;43,78; 131.789,00 ; 143.181,00 ; 21.164,00 ; 14.797,00 ; 1.708,00 ; 113.515,00 ; 136.238,00 ; 19.025,00 ; 13.923,00 ; 1.363,00 ; 18.274,00 ; 6.943,00 ; 2.139,00 ; 873,00 ; 345,00 
1/7/17;48,18;62,92;38,24;62,14;79,44;50,46;19,47;38,34;15,39;39,77;76,36;31,91;22;14,34;23,26;42,11;27,44;44,48;63,92;75,28;60,17;62,65;25,59;37,05; 99.294,00 ; 92.111,00 ; 15.581,00 ; 8.413,00 ; 2.222,00 ; 80.386,00 ; 87.593,00 ; 14.082,00 ; 7.738,00 ; 2.049,00 ; 18.908,00 ; 4.518,00 ; 1.499,00 ; 674,00 ; 173,00 
1/6/17;47,99;59,66;39,93;62,53;76,7;52,7;29,98;12,3;33,34;48,41;32,23;51,34;17,61;13,33;18,28;43,66;36,69;44,69;60,87;75,35;57,75;58,58;17,33;45,06; 94.310,00 ; 26.379,00 ; 9.592,00 ; 6.460,00 ; 1.310,00 ; 70.944,00 ; 20.783,00 ; 8.429,00 ; 5.858,00 ; 1.261,00 ; 23.367,00 ; 5.596,00 ; 1.162,00 ; 603,00 ; 49,00 
1/5/17;45,13;59,36;35,45;61,43;80,29;48,48;18,18;7,54;20,23;36,51;22,15;39,16;16,95;13,95;17,46;47,74;37,88;49,39;56,09;60,63;54,69;56,6;18,98;41,23; 91.586,00 ; 15.744,00 ; 8.841,00 ; 6.262,00 ; 473,00 ; 63.699,00 ; 12.880,00 ; 7.569,00 ; 5.567,00 ; 374,00 ; 27.887,00 ; 2.864,00 ; 1.272,00 ; 696,00 ; 99,00 
1/4/17;50,46;60,2;43,55;67,94;75,48;62,5;19,98;4,9;23,26;42,58;17,15;47,86;31,31;23,46;32,61;58,42;47,01;60,28;59,61;70,06;56,37;57,97;32,55;31,6; 98.061,00 ; 31.963,00 ; 13.748,00 ; 11.433,00 ; 1.384,00 ; 81.589,00 ; 27.743,00 ; 12.342,00 ; 10.840,00 ; 1.243,00 ; 16.471,00 ; 4.220,00 ; 1.406,00 ; 593,00 ; 141,00 
1/3/17;38,54;47,82;31,15;58,22;69,97;48,87;9,95;0,99;11,8;17,17;1,24;20,48;15,4;12;16;43,28;39,27;43,96;61,32;66,04;59,88;63,19;19,5;47,4; 71.512,00 ; 9.285,00 ; 8.419,00 ; 5.503,00 ; 649,00 ; 63.254,00 ; 8.656,00 ; 7.661,00 ; 5.390,00 ; 634,00 ; 8.257,00 ; 629,00 ; 758,00 ; 112,00 ; 15,00 
1/2/17;33,54;41,6;27;52,82;62,05;45,32;21,65;9,53;24,19;34,39;18,54;37,7;13;11,49;13,27;38,88;36,49;39,28;71,31;70,35;71,63;72,88;23,11;54,47; 55.405,00 ; 3.730,00 ; 7.408,00 ; 4.057,00 ; 1.016,00 ; 49.768,00 ; 3.215,00 ; 6.636,00 ; 3.992,00 ; 692,00 ; 5.637,00 ; 515,00 ; 771,00 ; 65,00 ; 324,00 
1/1/17;27,23;37,19;18,76;37,2;53,13;23,63;14,92;6,37;16,78;32,88;14,33;36,88;6,22;4,45;6,57;16,41;11,74;17,33;64,88;68,87;63,68;68,62;23,82;49,64; 47.018,00 ; 2.774,00 ; 4.716,00 ; 1.956,00 ;; 41.016,00 ; 2.531,00 ; 4.329,00 ; 1.896,00 ;; 6.001,00 ; 243,00 ; 387,00 ; 59,00 ;
1/12/16;38,74;48,73;30,94;45,15;49,91;41,38;26,56;20,28;27,92;47,31;41,9;48,54;23,58;10,23;25,77;43,88;15,56;48,57;62,86;65,34;62,12;63,8;20,56;47,42; 68.996,00 ; 8.119,00 ; 10.528,00 ; 7.699,00 ; 359,00 ; 63.034,00 ;; 10.402,00 ; 7.641,00 ; 359,00 ; 5.962,00 ;; 126,00 ; 59,00 ;
1/11/16;38,1;50,79;28,81;61,21;79,02;48,08;24,05;20,36;24,56;38,62;32,65;39,44;15,06;7,48;16,28;47,38;27,01;50,56;57,19;61,42;55,92;60,35;20,54;43,98; 69.735,00 ; 10.685,00 ; 6.794,00 ; 5.234,00 ; 604,00 ; 61.233,00 ; 9.416,00 ; 6.288,00 ; 5.152,00 ; 587,00 ; 8.502,00 ; 1.269,00 ; 506,00 ; 83,00 ; 17,00 
1/10/16;54,77;67,9;45,61;73,67;85,01;65,67;41,16;38,01;41,7;49,98;56,41;48,8;24,81;10,8;27,06;57,28;30,63;61,43;59,29;63,77;57,94;58,65;19;43,52; 107.336,00 ; 15.371,00 ; 12.820,00 ; 8.996,00 ; 1.042,00 ; 82.777,00 ; 12.434,00 ; 12.317,00 ; 8.352,00 ; 978,00 ; 24.559,00 ; 2.937,00 ; 503,00 ; 645,00 ; 64,00 
1/9/16;55,96;69,74;46,59;69,93;82,37;61,47;34,14;28,44;35,14;45,28;40,63;46,09;18,11;8,59;19,66;41,04;23,22;43,92;59,43;61,48;58,81;58,85;18,34;44; 108.056,00 ; 20.657,00 ; 11.089,00 ; 5.949,00 ; 553,00 ; 76.579,00 ; 17.628,00 ; 8.809,00 ; 5.137,00 ; 499,00 ; 31.477,00 ; 3.029,00 ; 2.280,00 ; 812,00 ; 54,00 
1/8/16;63,06;77,43;53,3;73,47;84,92;65,67;17,5;12,31;18,39;32,78;32,62;32,81;36,99;10,24;41,16;54,9;16,57;60,76;58,42;75,31;54,27;58,64;18,75;43,64; 127.508,00 ; 125.250,00 ; 19.998,00 ; 13.167,00 ; 1.002,00 ; 108.864,00 ; 118.526,00 ; 18.545,00 ; 12.181,00 ; 928,00 ; 18.644,00 ; 6.724,00 ; 1.453,00 ; 987,00 ; 74,00 
1/7/16;51,96;67,25;41,3;65,11;77,6;56,54;17,38;14,87;17,85;36,35;42,63;35,14;18,85;7,19;20,69;36,31;13,25;39,91;63,04;75,25;59,32;62,75;26,34;36,41; 101.679,00 ; 78.146,00 ; 16.625,00 ; 6.687,00 ; 2.230,00 ; 79.376,00 ; 73.527,00 ; 14.929,00 ; 5.745,00 ; 2.119,00 ; 22.304,00 ; 4.619,00 ; 1.696,00 ; 942,00 ; 111,00 
1/6/16;43,97;55,29;36,01;61,26;75,12;51,48;14,7;13,73;14,87;28,19;28,66;28,11;13,48;9,61;14,01;36,3;31,92;36,65;61,96;79,92;56,72;39,78;12,2;28,87; 82.142,00 ; 20.382,00 ; 8.108,00 ; 4.440,00 ; 1.692,00 ; 60.128,00 ; 15.167,00 ; 6.879,00 ; 3.956,00 ; 1.667,00 ; 22.013,00 ; 5.215,00 ; 1.229,00 ; 484,00 ; 25,00 
1/5/16;47,52;60,03;38,71;65,91;83,25;53,44;24,84;19,17;25,58;43,91;44,94;43,61;18,83;14,4;19,42;48,66;31,11;51,24;56,47;60,33;55,28;57;18,45;42,05; 92.448,00 ; 13.373,00 ; 8.491,00 ; 6.540,00 ; 1.103,00 ; 68.642,00 ; 10.634,00 ; 7.202,00 ; 5.830,00 ; 1.038,00 ; 23.805,00 ; 2.739,00 ; 1.289,00 ; 710,00 ; 65,00 
