,actividad,num_resenas,valoracion,categoria
102,103. Bodegas Castillo de Mendoza,18,5.0,Wineries & Vineyards
103,104. Bodega Contador,26,4.5,Wineries & Vineyards
104,105. Monasterio de Santa Maria de San Salvador,55,4.5,Religious Sites
105,106. Bodegas Santalba,26,5.0,Wineries & Vineyards
106,107. Bodegas Amézola de la Mora,51,5.0,Wineries & Vineyards
107,108. Karting Rioja,77,4.5,Game & Entertainment Centers
108,109. Teatro Breton,23,4.5,Theaters
109,110. Basilica de Nuestra Senora de la Vega,42,4.0,Churches & Cathedrals
110,111. Castillo De Arnedo,5,4.5,Ancient Ruins
111,112. Museo de la Verdura,33,3.5,Speciality Museums
112,113. Monasterio Cisterciense de Canas,32,4.5,Churches & Cathedrals
113,114. Puente Romano Del Priorato,12,4.5,Bridges
114,115. Barranco de la Hoz,17,4.5,Geologic Formations
115,116. Bodegas Ramirez de la Piscina,11,5.0,Wineries & Vineyards
116,117. La Frikileria,183,5.0,Speciality & Gift Shops
117,118. Hoplita Historic Vineyards,8,5.0,Wineries & Vineyards
118,119. Castillo de Davalillo,26,4.0,Points of Interest & Landmarks
119,120. Museo del Calzado. Basilio García,8,4.5,Speciality Museums
120,541. Bodegas JER,1,5.0,Wineries & Vineyards
121,542. Carlos Capin Suarez,,,Taxis & Shuttles
122,543. Rivalia Bodegas y Vinedos,,,Wineries & Vineyards
123,544. Rioja in Style,,,Sightseeing Tours
124,545. Sensum Rioja Tours by Celia,,,Multi-day Tours
125,546. Unidad cccc,,,Wine Tours & Tastings
126,547. Albergue de Lumbreras,,,Zipline & Aerial Adventure Parks
127,548. Sparta Sport Center,,,Health Clubs
128,549. La Plazuela de Barriocepo,,,Speciality & Gift Shops
129,550. Iglesia Inmaculada,,,Churches & Cathedrals
130,551. Enjoy the most beautiful places in La Rioja during your stay,,,Taxis & Shuttles
131,552. Museo de Ciencias Naturales de Arnedo,,,Speciality Museums
132,553. Iglesia San Martin,,,Churches & Cathedrals
133,554. Campo Miel,,,Lessons & Workshops
134,555. Parroquia De Nuestra Señora De La Asunción,,,Churches & Cathedrals
135,556. Violeta Betolaza Román. Decoración En Cerámica.,,,Speciality & Gift Shops
136,557. Bodegas Obalo,,,Wineries & Vineyards
137,558. Quickgold Logroño,,,Speciality & Gift Shops
138,559. BODEGAS TARÓN,,,Nature & Wildlife Tours
139,560. Plaza de toros La Ribera,,,Parks
140,561. Spain Transfers,,,Taxis & Shuttles
141,562. Iglesia de la Asunción,,,Churches & Cathedrals
142,563. Metaversia,,,Game & Entertainment Centers
143,564. Lurreko Aromaticas y Biodiversidad,,,Day Trips
144,565. Logroaventura,,,Climbing Tours
145,566. Logroaventura,,,Kayaking & Canoeing
146,567. Bodega San Martín De Ábalos,,,Wineries & Vineyards
147,568. Bodega San Esteban,,,Wineries & Vineyards
148,569. Metaversia Calahorra,,,Game & Entertainment Centers
149,570. Hoplitawines,,,Wineries & Vineyards
150,1. Calle del Laurel,"3,669",4.5,Points of Interest & Landmarks
151,2. Tierra Rapaz,"1,555",5.0,Zoos
152,3. Marques de Murrieta,462,5.0,Wineries & Vineyards
153,4. Bodegas Lecea,"1,036",5.0,Wineries & Vineyards
154,5. Bodegas Franco Espanolas,"1,428",4.5,Wineries & Vineyards
155,6. Bodegas Muga,890,4.5,Wineries & Vineyards
156,7. Vivanco,"1,009",4.5,Wineries & Vineyards
157,8. Bodegas Campo Viejo,253,5.0,Wineries & Vineyards
158,9. Bodegas y Vinedos Gomez Cruzado,590,4.5,Wineries & Vineyards
159,10. Bodegas Tritium,722,5.0,Wineries & Vineyards
160,11. Animales-zoo-riojanatura,325,5.0,Zoos
161,12. Bodegas Manzanos Haro,283,5.0,Wineries & Vineyards
162,13. Bodega La Rioja Alta S.A.,614,4.5,Wineries & Vineyards
163,14. Bodegas Lopez de Heredia Vina Tondonia,591,4.5,Wineries & Vineyards
164,15. Monasterio de Yuso,742,4.5,Points of Interest & Landmarks
165,16. Bodega Conde de los Andes,254,5.0,Wineries & Vineyards
166,17. Arizcuren Bodega & Viñedos,156,5.0,Wineries & Vineyards
167,18. Pozas de Aguas Termales de Arnedillo,186,4.0,Thermal Spas
168,19. CVNE Vino,553,4.5,Wineries & Vineyards
169,20. Calle San Juan,335,4.5,Historic Walking Areas
170,21. Monasterio de Santa Maria La Real,360,4.5,Religious Sites
171,22. Cueva de los Cien Pilares,92,4.5,Caverns & Caves
172,"23. Bodegas Ontañón, El Templo del Vino",243,4.5,Wineries & Vineyards
173,24. Bodegas David Moreno,345,4.5,Wineries & Vineyards
174,25. San Millan Suso Monastery,446,4.0,Historic Sites
175,26. Bodegas Vina Ijalba S.A.,155,5.0,Wineries & Vineyards
176,27. Bodegas Ramon Bilbao,299,4.0,Wineries & Vineyards
177,28. Concatedral de Santa Maria de la Redonda,640,4.0,Churches & Cathedrals
178,29. Museo de la Rioja,244,4.5,Speciality Museums
179,30. Bodegas Marqués De Cáceres,138,4.5,Wineries & Vineyards
180,61. Iglesia Santa Maria la Mayor,47,4.5,Churches & Cathedrals
181,62. Bodegas Olarra,60,4.5,Wineries & Vineyards
182,63. Jardín Botánico de La Rioja,33,5.0,Gardens
183,64. Bodega Finca Valpiedra,83,4.5,Wineries & Vineyards
184,65. Miguel Merino Winery,63,5.0,Wineries & Vineyards
185,66. Centro Comercial Berceo.,32,4.0,Shopping Malls
186,67. Bodegas Finca La Emperatriz,98,5.0,Wineries & Vineyards
187,68. Mercado de San Blas,105,3.5,Shopping Malls
188,69. Bodegas Valenciso,128,5.0,Wineries & Vineyards
189,70. Ermita de San Felices de Bilibio,54,4.5,Religious Sites
190,71. Bodegas Valentin Pascual,86,5.0,Wineries & Vineyards
191,72. Calle Portales,43,4.5,Points of Interest & Landmarks
192,73. La Casa Encantada,65,4.0,Speciality Museums
193,74. Bodegas Marques de Vargas,20,4.5,Wineries & Vineyards
194,75. Iglesia de Santiago el Real,111,4.0,Churches & Cathedrals
195,76. Catedral de Santa Maria,97,4.0,Churches & Cathedrals
196,77. Castillo de Cuzcurrita Wine Cellar,39,4.5,Wineries & Vineyards
197,78. Pantano de La Grajera,19,4.5,Bodies of Water
198,79. Aqualar,7,3.5,Water Parks
199,80. Centro de Interpretacion Paleontologica de La Rioja,57,4.0,Science Museums
200,81. Monasterio de Nuestra Senora de la Piedad,72,4.5,Religious Sites
201,82. Bodegas LAN,46,5.0,Wineries & Vineyards
202,83. Castillo De San Vicente,64,4.5,Castles
203,84. Fabrica De Harinas La Gloria,22,5.0,Speciality Museums
204,85. Centro historico de Haro,28,4.0,Points of Interest & Landmarks
205,86. Bodegas Montecillo,28,4.5,Wineries & Vineyards
206,87. Tobelos Bodegas y Vinedos,24,5.0,Wineries & Vineyards
207,88. Iglesia de Nuestra Senora de la Asuncion,76,4.5,Churches & Cathedrals
208,89. El Cubo de Revellin,114,4.0,Ancient Ruins
209,90. Ermita de Allende,29,4.5,Churches & Cathedrals
210,331. Cafe Luz,21,3.5,Bars & Clubs
211,332. Iglesia de la Asuncion,1,3.0,Churches & Cathedrals
212,333. Capitan Haddock Cafe & Parque Infantil,5,4.5,Bars & Clubs
213,334. Plaza Del Juego De La Oca,1,3.0,Monuments & Statues
214,335. La Rioja Bike Tours,67,5.0,Gear Rentals
215,336. Anastasiya Gastrobar,2,5.0,Bars & Clubs
216,337. Riojatrek,310,5.0,Sightseeing Tours
217,338. Vinoteca Rodriguez Alonso,9,3.0,Bars & Clubs
218,339. Discoteca Concept,3,3.5,Dance Clubs & Discos
219,340. Taxi Jose Haro,2,5.0,Taxis & Shuttles
220,341. La Fama,9,3.0,Bars & Clubs
221,342. Cafe Boulevard,16,4.0,Bars & Clubs
222,343. Badaran Que Hablar,1,5.0,Wineries & Vineyards
223,344. Masajes Raquel Blanco,2,5.0,Spas
224,345. Centro Ecuestre Villarrica,3,4.5,Horseback Riding Tours
225,346. Tierra de Sabores (Wine Shop),9,4.0,Speciality & Gift Shops
226,347. Zhivago Cafe,1,5.0,Bars & Clubs
227,348. Bodegas Alicia Rojas,9,3.0,Wineries & Vineyards
228,349. Bridge of Mantible,2,4.5,Bridges
229,350. Riojaforum,1,5.0,Convention Centers
230,351. EL RINCON DE LA CANELA,4,5.0,Bars & Clubs
231,352. Atipyca,44,5.0,Speciality & Gift Shops
232,353. Licoreria Virgen Del Cisne,3,4.5,Wineries & Vineyards
233,354. Vinun Ad Amicus,8,4.0,Wine Bars
234,355. Calado de Catas El Legado,5,4.0,Wine Tours & Tastings
235,356. BAR DEL Castillo,,,Bars & Clubs
236,357. Chamberi Villamediana,,,Bars & Clubs
237,358. Cafeteria Medievo,,,Bars & Clubs
238,359. Vino Y Algo Mas,,,Wineries & Vineyards
239,360. Bodegas Fernández Eguiluz Peña La Rosa,,,Wineries & Vineyards
240,361. Bodegas La Eralta,1,5.0,Wineries & Vineyards
241,362. La Boheme,1,5.0,Bars & Clubs
242,363. Bodegas Castillo Alonso,2,2.5,Wineries & Vineyards
243,364. Bodegas Aradón,196,5.0,Wineries & Vineyards
244,365. Los Secretos de Claudia,1,4.0,Speciality & Gift Shops
