actividad,num_resenas,valoracion,categoria,ubicacion
Bodega CM de Matarromera,14,5.0,Wineries & Vineyards,Enciso
Castillo de Clavijo,27,4.0,Castles,Mansilla de la Sierra
Sala Amos Salvador,6,4.5,Art Museums,Cenicero
Finca Ribavellosa,9,5.0,Hiking Trails,Haro
Centro de la Cultura del Rioja,52,3.5,Art Museums,El Villar
Chorrones de Pena Puerta,6,4.5,Waterfalls,Torrecilla en Cameros
Monumento al Sagrado Corazón de Jesús,11,4.5,Monuments & Statues,Viguera
Ermita de Santa Barbara,5,4.0,Churches & Cathedrals,Logrono
Ruta de Las Neveras,3,4.5,Hiking Trails,Haro
Santuario de Santa Maria de la Estrella,10,4.0,Religious Sites,San Vicente de la Sonsierra
Piscinas Municipales,4,4.0,Sports Complexes,Sojuela
Cines 7 Infantes,15,3.5,Theaters,San Asensio
Bodegas Tobia,10,4.5,Wineries & Vineyards,San Asensio
Escape Room Logrono,328,5.0,Escape Games,Aldeanueva de Ebro
Monumento a la Valvanerada,4,5.0,Monuments & Statues,Logrono
Chimenea de La Antigua Tabacalera,20,3.5,Points of Interest & Landmarks,Logrono
Bodegas Mazuela,8,5.0,Wineries & Vineyards,Ribabellosa
Bodegas Paco Garcia,9,5.0,Wineries & Vineyards,Ezcaray
Alfareria Naharro,2,4.5,Factory Outlets,Murillo del Rio Leza
Bodegas Berceo,6,4.5,Wineries & Vineyards,Navarrete
Senda De Los Dinosaurios,6,4.0,Points of Interest & Landmarks,Logrono
Uvas y Vino,10,5.0,Wineries & Vineyards,Arnedillo
Bodegas Vina Laguardia S L,14,4.5,Wineries & Vineyards,Briones
Museo del Torreón,18,4.0,Art Museums,Alfaro
Embalse de Mansilla,4,4.5,Bodies of Water,Torrecilla en Cameros
Ermita de San Juan Santo Cristo de Los Remedios,26,4.0,Churches & Cathedrals,Logrono
Bodegas Betolaza,4,5.0,Wineries & Vineyards,Cuzcurrita de Rio Tiron
Bodegas Perica,7,4.5,Wineries & Vineyards,Briones
Iglesia de San Servando y San German,6,4.5,Religious Sites,Logrono
Ilurce Bodegas y Vinedos,5,5.0,Wineries & Vineyards,Clavijo
Ilurce Bodegas y Vinedos,5,5.0,Wineries & Vineyards,Logrono
Junguitu ¿Hablamos de Vino?,8,4.5,Wineries & Vineyards,Navarrete
Puente de Hierro,11,4.0,Bridges,Sajazarra
Oficina de Turismo de Alfaro,10,4.5,Visitor Centers,Sojuela
San Esteban de Viguera,7,5.0,Points of Interest & Landmarks,Cuzcurrita de Rio Tiron
Club de Golf Sojuela,25,4.0,Golf Courses,Torrecilla en Cameros
Parroquia Santa Maria La Mayor,14,4.5,Churches & Cathedrals,Logrono
Bodegas Valoria,4,5.0,Wineries & Vineyards,Villoslada de Cameros
Oficina de Turismo de Arnedillo,14,4.0,Visitor Centers,Canas
Puente de Piedra,14,3.5,Piers & Boardwalks,Albelda de Iregua
Eureka! Escape-Room,227,4.5,Escape Games,Santo Domingo de la Calzada
Bodegas Marques de Arviza,8,4.0,Wineries & Vineyards,Santo Domingo de la Calzada
Monasterio de Santa Maria del Salvador,7,4.5,Churches & Cathedrals,Haro
Oficina de Turismo Briones,15,4.0,Visitor Centers,Brinas
Ayuntamiento De Sajazarra,13,3.5,Government Buildings,Logrono
Ayuntamiento de Fuenmayor,6,4.0,Architectural Buildings,San Asensio
Oficina de Turismo Calahorra,4,5.0,Visitor Centers,Fuenmayor
Ermita de San Pedro,4,4.5,Points of Interest & Landmarks,Torrecilla en Cameros
Bodegas González Puras,3,5.0,Wineries & Vineyards,San Vicente de la Sonsierra
Muralla Medieval,28,3.5,Points of Interest & Landmarks,Alfaro
Exposición Permanente de los Pasos de la Semana Santa Calagurritana,3,4.5,Art Museums,Logrono
Bodegas Hermanos Peciña S.l,6,4.5,Wineries & Vineyards,Calahorra
El Campo de Logrono,33,4.0,Golf Courses,Najera
Parroquia de San Miguel Arcángel,10,4.5,Religious Sites,Alfaro
Oficina de Turismo de Najera,11,3.5,Visitor Centers,Logrono
Oficina de Turismo,8,4.0,Visitor Centers,Arnedillo
Bazart Gallery,2,5.0,Art Galleries,Briones
Plaza de Toros Los Rosales,3,4.0,Architectural Buildings,San Vicente de la Sonsierra
Puente Medieval de Villoslada,11,4.0,Bridges,Fuenmayor
Santuario de la Virgen de Tomalos,3,4.5,Points of Interest & Landmarks,
Carlos Serres,0,,,
Vinos Castro,0,,,
Parque Infantil,0,,,
Museo Del Vino Portal De La Rioja,0,,,
Bodegas Ochagavia,0,,,
Arenero Picos De Urbión,0,,,
Riojapress,0,,,
Laurus Spa,0,,,
Dir Rioja,0,,,
Prosystem Seguridad,0,,,
Bodega Eduardo Garrido,0,,,
Bodegas Aradón,0,,,
Electrodomésticos Arenas,0,,,
100 Arquitectos Proyectos,0,,,
Bodegas Petralanda,0,,,
Bodega Antigua De Azenari,0,,,
Traddu Traducción & Internacionalización,0,,,
Bambú La Rioja,0,,,
Iglesia De San Martín,0,,,
Quickgold Logroño,0,,,
Plaza de toros La Ribera,0,,,
Bodegas Obalo,0,,,
BODEGAS TARÓN,0,,,
Iglesia de la Asunción,0,,,
Spain Transfers,0,,,
Iglesia de Villanueva de Cameros,0,,,
Iglesia de San Martín,0,,,
Church of San Saturnino,0,,,
Iglesia San Martin,0,,,
Enocuatro S.l,0,,,
Hoplita Historic Vineyards,8,5.0,Wineries & Vineyards,Santo Domingo de la Calzada
Barranco de la Hoz,17,4.5,Geologic Formations,Najera
Castillo de Davalillo,26,4.0,Points of Interest & Landmarks,Santo Domingo de la Calzada
Bodegas Marques de Reinosa,13,5.0,Wineries & Vineyards,Alfaro
Museo Najerillense,32,3.5,Speciality Museums,Cervera del Rio Alhama
Reserva Natural de Los Sotos de Alfaro,9,5.0,Nature & Wildlife Areas,Najera
Viñedos De Sonsierra,17,5.0,Wineries & Vineyards,Santo Domingo de la Calzada
Colelegiata De San Miguel,8,5.0,Churches & Cathedrals,Logrono
Abadía cisterciense,9,4.0,Religious Sites,Calahorra
Enoteca Crixto-14,70,4.5,Wine Bars,San Asensio
Espacio Lagares,9,4.5,Speciality Museums,Logrono
Calado,151,5.0,Wineries & Vineyards,Santo Domingo de la Calzada
Alcazar de Nájera,8,3.5,Ancient Ruins,Canas
Palacio del Marques de San Nicolas,31,4.0,Architectural Buildings,Autol
Ermita de la Virgen de la Plaza,29,4.0,Churches & Cathedrals,Navajun
Convento de San Francisco,11,4.5,Religious Sites,San Vicente de la Sonsierra
AK Museum,2,5.0,Speciality Museums,Logrono
Oficina de Turismo de Haro,36,4.0,Visitor Centers,Alfaro
Ampliación a Victoria,5,4.5,Mines,Briones
Monasterio de San José,8,4.0,Churches & Cathedrals,Navarrete
Camino Verde del Alhama Cervera del Río Alhama,18,4.5,Hiking Trails,Cenicero
Barrio de la Estación de Haro,2,5.0,Wineries & Vineyards,Ventosa
Oficina de Turismo de Arnedo,12,4.5,Visitor Centers,Arnedo
iglesia de San Cosme y San Damian,12,4.5,Churches & Cathedrals,Logrono
Bodega - Hotel FyA,11,4.0,Wineries & Vineyards,Logrono
Ermita de Santa Maria de la Piscina,34,4.5,Religious Sites,Haro
Ayuntamiento Santo Domingo De La Calzada,22,4.0,Government Buildings,Haro
Monasterio de la Luz,9,4.5,Churches & Cathedrals,San Vicente de la Sonsierra
Estatua de la Libertad,11,4.0,Points of Interest & Landmarks,Arnedo
Paseo de la Florida,13,4.0,Parks,Logrono
Bodegas Vinicola Real,14,5.0,Wineries & Vineyards,Logrono
Basilica de Santa Maria de los Arcos,36,5.0,Churches & Cathedrals,Gimileo
Dolmen La Chabola de la Hechicera,22,4.5,Points of Interest & Landmarks,Arnedo
Ermita de Allende,29,4.5,Churches & Cathedrals,San Vicente de la Sonsierra
Bodegas Martinez Alesanco,24,5.0,Wineries & Vineyards,Logrono
Torre Exenta,24,4.5,Points of Interest & Landmarks,Badaran
Iglesia Santa Maria de Palacio,84,4.0,Churches & Cathedrals,Canas
Museo de la Romanización,18,4.5,Art Museums,Santo Domingo de la Calzada
Contrebia Leucade,24,4.5,History Museums,San Asensio
Monasterio de Nuestra Señora de Vico,20,4.5,Religious Sites,Ezcaray
Bodegas Alvia,42,5.0,Wineries & Vineyards,Logrono
La Senda Del Agua,6,5.0,Waterfalls,Cihuri
Bodegas Castillo de Mendoza,18,5.0,Wineries & Vineyards,Aguilar del Rio Alhama
Bodega Contador,26,4.5,Wineries & Vineyards,Calahorra
Bodegas Santalba,26,5.0,Wineries & Vineyards,Albelda de Iregua
Monasterio de Santa Maria de San Salvador,55,4.5,Religious Sites,Haro
Bodegas Amézola de la Mora,51,5.0,Wineries & Vineyards,Arnedo
Karting Rioja,77,4.5,Game & Entertainment Centers,Canas
Teatro Breton,23,4.5,Theaters,Matute
Basilica de Nuestra Senora de la Vega,42,4.0,Churches & Cathedrals,Arnedo
Castillo De Arnedo,5,4.5,Ancient Ruins,Ventosa
Museo de la Verdura,33,3.5,Speciality Museums,San Vicente de la Sonsierra
Monasterio Cisterciense de Canas,32,4.5,Churches & Cathedrals,Ventosa
