Restaurant/Tapas Bar,Rating,Number of Reviews,Cuisine Type,Price Range,Tripadvisor Ranking
Restaurante El Molino,4.5,27,Restaurantes en San Millán de la Cogolla,€€ - €€€,1.0
In Vino Veritas- Hostería,4.0,122,Mediterránea,€€ - €€€,2.0
Asador San Millan,3.5,11,Española,€,3.0
Meson Las Glosas,3.0,139,Española,€€ - €€€,4.0
Restaurante El Molino,4.5,27,Restaurantes en San Millán de la Cogolla,€€ - €€€,1.0
In Vino Veritas- Hostería,4.0,122,Mediterránea,€€ - €€€,2.0
Asador San Millan,3.5,11,Española,€,3.0
Meson Las Glosas,3.0,139,Española,€€ - €€€,4.0
