Mes;gopph_TOTAL;gopph_Logroño y Alrededores ;gopph_plaza_Resto municipios;gopph_finde_TOTAL;gopph_Logroño y Alrededores _finde ;gopph_Resto municipios_finde;goppa_TOTAL;goppa_Logroño y Alrededores ;goppa_Resto municipios;goppa_finde_TOTAL;goppa_Logroño y Alrededores _finde ;goppa_Resto municipios_finde;gopptr_TOTAL;gopptr_Logroño y Alrededores ;gopptr_Resto municipios;gopptr_finde_TOTAL;gopptr_Logroño y Alrededores _finde ;gopptr_Resto municipios_finde;goppc_TOTAL;goppc_Logroño y Alrededores ;goppc_plaza_Resto municipios;goppc_finde_TOTAL;goppc_Logroño y Alrededores _finde ;goppc_Resto municipios_finde
2022M05;43,22;51,77;42,81;59,27;70,05;41,21;21,06;15,75;22,64;32,46;29,22;33,43;17,74;25,65;16,92;41,03;76,25;37,35;55,77;74,95;50,50;57,08;18,41;40,90
2022M04;44,93;54,06;37,98;58,70;61,30;49,00;10,65;14,56;9,35;28,30;41,35;23,92;23,32;29,03;22,65;48,10;73,70;45,06;67,46;74,61;65,12;59,75;20,02;39,72
2022M03;29,87;37,42;31,46;49,00;59,90;33,75;13,31;9,86;14,35;27,53;22,18;29,06;11,22;15,91;10,79;33,17;53,16;31,23;61,24;74,32;57,75;40,70;14,27;27,91
2022M02;33,42;38,72;28,27;52,87;65,02;41,13;7,55;4,64;8,43;14,67;8,49;16,55;10,07;16,14;9,33;28,00;47,85;25,54;55,15;61,42;53,24;55,58;11,40;46,35
2022M01;18,51;25,12;17,62;27,41;39,48;17,25;16,52;12,58;17,59;19,35;16,41;20,03;7,43;9,29;7,19;16,62;18,76;16,33;57,99;64,59;55,97;58,84;19,20;43,31
2021M12;29,53;34,26;28,07;33,08;28,64;24,27;14,51;13,62;14,58;27,35;27,29;26,94;23,34;21,13;23,55;37,11;33,53;37,46;63,21;65,95;62,39;65,85;11,69;56,39
2021M11;36,10;44,70;32,04;54,75;62,76;47,31;25,15;16,60;27,67;40,50;22,28;46,11;19,87;22,63;19,45;49,94;74,99;46,43;72,99;74,87;72,44;75,11;32,41;48,89
2021M10;48,93;62,77;41,77;60,64;68,61;43,73;23,69;14,13;26,55;38,83;17,13;45,56;28,68;36,32;27,58;54,64;76,22;51,54;73,50;72,59;73,81;74,38;22,27;56,36
2021M09;46,20;59,43;37,88;62,63;72,75;57,71;47,76;18,27;56,81;53,82;23,76;62,98;22,14;18,96;22,35;43,95;50,78;43,04;65,29;64,46;65,58;63,01;13,44;52,14
2021M08;62,00;74,73;56,15;71,77;82,26;49,71;34,74;17,00;41,30;44,46;20,58;53,32;40,93;40,81;40,81;54,37;67,60;46,72;61,42;74,51;57,97;59,25;18,65;44,35
